Year,Month,DIM,Testbed,TestbedFrac,A1,A1Frac,A2,A2Frac,A3,A3Frac,A4,A4Frac,A5,A5Frac
2014,8,31,0,0,0,0,31,1,31,1,0,0,0,0
2014,9,30,0,0,0,0,30,1,30,1,0,0,0,0
2014,10,31,0,0,0,0,30,0.967741935483871,29,0.935483870967742,0,0,0,0
2014,11,30,0,0,0,0,29,0.966666666666667,29,0.966666666666667,0,0,0,0
2014,12,31,0,0,0,0,13,0.419354838709677,12,0.387096774193548,0,0,0,0
2015,1,31,0,0,0,0,31,1,31,1,0,0,0,0
2015,2,28,0,0,0,0,28,1,28,1,0,0,0,0
2015,3,31,0,0,0,0,31,1,31,1,0,0,0,0
2015,4,30,0,0,0,0,30,1,30,1,0,0,0,0
2015,5,31,0,0,0,0,31,1,31,1,0,0,0,0
2015,6,30,0,0,0,0,30,1,30,1,0,0,0,0
2015,7,31,0,0,0,0,31,1,31,1,0,0,0,0
2015,8,31,0,0,0,0,31,1,7,0.225806451612903,0,0,0,0
2015,9,30,0,0,0,0,30,1,0,0,0,0,0,0
2015,10,31,0,0,0,0,31,1,0,0,0,0,0,0
2015,11,30,0,0,0,0,11,0.366666666666667,2,0.066666666666667,0,0,0,0
2015,12,31,0,0,29,0.935483870967742,30,0.967741935483871,29,0.935483870967742,0,0,0,0
2016,1,31,0,0,30,0.967741935483871,30,0.967741935483871,31,1,0,0,0,0
2016,2,28,0,0,28,1,28,1,28,1,0,0,0,0
2016,3,31,0,0,11,0.354838709677419,11,0.354838709677419,11,0.354838709677419,0,0,0,0
2016,4,30,0,0,19,0.633333333333333,18,0.6,17,0.566666666666667,0,0,0,0
2016,5,31,0,0,31,1,31,1,31,1,0,0,0,0
2016,6,30,0,0,6,0.2,30,1,30,1,0,0,0,0
2016,7,31,0,0,0,0,31,1,31,1,0,0,0,0
2016,8,31,0,0,0,0,23,0.741935483870968,24,0.774193548387097,0,0,0,0
2016,9,30,0,0,0,0,30,1,30,1,0,0,0,0
2016,10,31,0,0,0,0,31,1,31,1,0,0,0,0
2016,11,30,0,0,0,0,30,1,30,1,0,0,0,0
2016,12,31,0,0,1,0.032258064516129,30,0.967741935483871,3,0.096774193548387,0,0,0,0
2017,1,31,0,0,0,0,22,0.709677419354839,0,0,0,0,0,0
2017,2,28,0,0,0,0,28,1,0,0,0,0,0,0
2017,3,31,0,0,0,0,31,1,0,0,0,0,0,0
2017,4,30,0,0,0,0,30,1,0,0,0,0,0,0
2017,5,31,0,0,0,0,26,0.838709677419355,0,0,0,0,0,0
2017,6,30,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,31,0,0,0,0,0,0,0,0,0,0,0,0
2017,8,31,0,0,0,0,0,0,0,0,0,0,0,0
2017,9,30,0,0,0,0,0,0,0,0,0,0,0,0
2017,10,31,0,0,0,0,0,0,0,0,0,0,0,0
2017,11,30,0,0,0,0,0,0,0,0,0,0,0,0
2017,12,31,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,31,0,0,15,0.483870967741936,21,0.67741935483871,17,0.548387096774194,12,0.387096774193548,17,0.548387096774194
2018,2,28,0,0,28,1,28,1,28,1,28,1,28,1
2018,3,31,0,0,31,1,31,1,31,1,31,1,31,1
2018,4,30,0,0,30,1,30,1,30,1,30,1,30,1
2018,5,31,0,0,31,1,31,1,29,0.935483870967742,31,1,31,1
2018,6,30,0,0,30,1,30,1,30,1,30,1,30,1
2018,7,31,0,0,31,1,12,0.387096774193548,31,1,31,1,19,0.612903225806452
